"","year","uni","set","theme","item","question","pos","rate"
"60","2017","cardiff","rg","teaching","explain","Staff are good at explaining things",93.5,0.561594202898551
"61","2017","cardiff","rg","teaching","interest","Staff have made the subject interesting",84.8,0.521739130434783
"62","2017","cardiff","rg","voice","valued","Staff value students’ views and opinions about the course",74.5,0.445652173913043
"63","2017","cardiff","rg","voice","theme_sum","Student Voice",72.9,1.32246376811594
"64","2017","cardiff","rg","teaching","stimulating","The course is intellectually stimulating",91.3,0.721014492753623
"65","2017","cardiff","rg","management","organised","The course is well organised and running smoothly",91.3,0.648550724637681
"66","2017","cardiff","rg","assessment","clear","The criteria used in marking have been clear in advance",79.7,0.485507246376812
"67","2017","cardiff","rg","resource","IT","The IT resources and facilities provided have supported my learning well",89.8,0.695652173913043
"68","2017","cardiff","rg","resource","library","The library resources (e.g. books, online services and learning spaces) have supported my learning well",92,0.702898550724638
"69","2017","cardiff","rg","teaching","theme_sum","The teaching on my course",88.2,2.34782608695652
"70","2017","cardiff","rg","management","timetable","The timetable works efficiently for me",93.5,0.721014492753623
"71","2017","durham","rg","acad_support","theme_sum","Academic support",82.9,1.09655172413793
"72","2017","durham","rg","management","comms","Any changes in the course or teaching have been communicated effectively",89.7,0.417241379310345
"73","2017","durham","rg","assess_feed","theme_sum","Assessment and feedback",80.6,1.4
"74","2017","durham","rg","assessment","timely","Feedback on my work has been timely",92.1,0.462068965517241
"75","2017","durham","rg","academic","choices","Good advice was available when I needed to make study choices on my course",77.7,0.320689655172414
"76","2017","durham","rg","community","staffstudent","I feel part of a community of staff and students",73.5,0.289655172413793
"77","2017","durham","rg","resource","access","I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",95.8,0.475862068965517
"78","2017","durham","rg","academic","contact","I have been able to contact staff when I needed to",95.8,0.468965517241379
"79","2017","durham","rg","voice","opportunity","I have had the right opportunities to provide feedback on my course",93.5,0.475862068965517
"80","2017","durham","rg","community","studentwork","I have had the right opportunities to work with other students as part of my course",85.1,0.375862068965517
"81","2017","durham","rg","academic","support","I have received helpful comments on my work",79.8,0.327586206896552
"82","2017","durham","rg","assessment","helpful","I have received helpful comments on my work",33,0
"83","2017","durham","rg","academic","choices","I have received sufficient advice and guidance in relation to my course",75.1,0.310344827586207
"84","2017","durham","rg","voice","acted_upon","It is clear how students’ feedback on the course has been acted on",55.5,0.162068965517241
"85","2017","durham","rg","community","theme_sum","Learning community",79.3,0.662068965517241
"86","2017","durham","rg","learnopp","theme_sum","Learning opportunities",84.3,1.13448275862069
"87","2017","durham","rg","resource","theme_sum","Learning resources",93.6,1.38275862068966
"88","2017","durham","rg","assessment","fair","Marking and assessment has been fair",81.2,0.341379310344828
"89","2017","durham","rg","teaching","challenge","My course has challenged me to achieve my best work",78.9,0.362068965517241
"90","2017","durham","rg","learnopp","apply","My course has provided me with opportunities to apply what I have learnt",73.1,0.26551724137931
"91","2017","durham","rg","learnopp","diff_topics","My course has provided me with opportunities to bring information and ideas together from different topics",88.9,0.424137931034483
"92","2017","durham","rg","learnopp","depth","My course has provided me with opportunities to explore ideas or concepts in depth",91.2,0.441379310344828
"93","2017","durham","rg","management","theme_sum","Organisation and management",88.7,1.25862068965517
"94","2017","durham","rg","overall","satisfied","Overall satisfaction",92.4,0.424137931034483
"95","2017","durham","rg","teaching","explain","Staff are good at explaining things",92.8,0.372413793103448
"96","2017","durham","rg","teaching","interest","Staff have made the subject interesting",85.6,0.331034482758621
"97","2017","durham","rg","voice","valued","Staff value students’ views and opinions about the course",80.4,0.358620689655172
"98","2017","durham","rg","voice","theme_sum","Student Voice",77,0.996551724137931
"99","2017","durham","rg","teaching","stimulating","The course is intellectually stimulating",93.5,0.451724137931034
"100","2017","durham","rg","management","organised","The course is well organised and running smoothly",90.3,0.406896551724138
"101","2017","durham","rg","assessment","clear","The criteria used in marking have been clear in advance",69.1,0.275862068965517
"102","2017","durham","rg","resource","IT","The IT resources and facilities provided have supported my learning well",90.1,0.420689655172414
"103","2017","durham","rg","resource","library","The library resources (e.g. books, online services and learning spaces) have supported my learning well",94.8,0.482758620689655
"104","2017","durham","rg","teaching","theme_sum","The teaching on my course",87.7,1.51034482758621
"105","2017","durham","rg","management","timetable","The timetable works efficiently for me",85.8,0.43448275862069
"106","2017","warwick","rg","acad_support","theme_sum","Academic support",80.7,1.65454545454545
"107","2017","warwick","rg","management","comms","Any changes in the course or teaching have been communicated effectively",92.5,0.681818181818182
"108","2017","warwick","rg","assess_feed","theme_sum","Assessment and feedback",70.1,1.61818181818182
"109","2017","warwick","rg","assessment","timely","Feedback on my work has been timely",79.4,0.545454545454545
"110","2017","warwick","rg","academic","choices","Good advice was available when I needed to make study choices on my course",77.1,0.5
"111","2017","warwick","rg","community","staffstudent","I feel part of a community of staff and students",64.5,0.354545454545455
"112","2017","warwick","rg","resource","access","I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",90.7,0.654545454545455
"113","2017","warwick","rg","academic","contact","I have been able to contact staff when I needed to",96.3,0.727272727272727
"114","2017","warwick","rg","voice","opportunity","I have had the right opportunities to provide feedback on my course",90.7,0.654545454545455
"115","2017","warwick","rg","community","studentwork","I have had the right opportunities to work with other students as part of my course",84.1,0.609090909090909
"116","2017","warwick","rg","academic","support","I have received helpful comments on my work",72,0.427272727272727
"117","2017","warwick","rg","assessment","helpful","I have received helpful comments on my work",50.5,0.218181818181818
"118","2017","warwick","rg","academic","choices","I have received sufficient advice and guidance in relation to my course",69.2,0.436363636363636
"119","2017","warwick","rg","voice","acted_upon","It is clear how students’ feedback on the course has been acted on",88.8,0.645454545454546
"120","2017","warwick","rg","community","theme_sum","Learning community",74.3,0.963636363636364
"121","2017","warwick","rg","learnopp","theme_sum","Learning opportunities",82.2,1.68181818181818
"122","2017","warwick","rg","resource","theme_sum","Learning resources",88.5,1.92727272727273
"123","2017","warwick","rg","assessment","fair","Marking and assessment has been fair",62.6,0.336363636363636
"124","2017","warwick","rg","teaching","challenge","My course has challenged me to achieve my best work",83.2,0.636363636363636
"125","2017","warwick","rg","learnopp","apply","My course has provided me with opportunities to apply what I have learnt",83.2,0.536363636363636
"126","2017","warwick","rg","learnopp","diff_topics","My course has provided me with opportunities to bring information and ideas together from different topics",84.1,0.609090909090909
"127","2017","warwick","rg","learnopp","depth","My course has provided me with opportunities to explore ideas or concepts in depth",79.4,0.545454545454545
"128","2017","warwick","rg","management","theme_sum","Organisation and management",88.5,1.94545454545455
"129","2017","warwick","rg","overall","satisfied","Overall satisfaction",91.4,0.681818181818182
"130","2017","warwick","rg","teaching","explain","Staff are good at explaining things",90.7,0.545454545454545
"131","2017","warwick","rg","teaching","interest","Staff have made the subject interesting",84.8,0.545454545454545
"132","2017","warwick","rg","voice","valued","Staff value students’ views and opinions about the course",92.5,0.681818181818182
"133","2017","warwick","rg","voice","theme_sum","Student Voice",90.7,1.97272727272727
"134","2017","warwick","rg","teaching","stimulating","The course is intellectually stimulating",83.2,0.636363636363636
"135","2017","warwick","rg","management","organised","The course is well organised and running smoothly",83.2,0.609090909090909
"136","2017","warwick","rg","assessment","clear","The criteria used in marking have been clear in advance",67.6,0.318181818181818
"137","2017","warwick","rg","resource","IT","The IT resources and facilities provided have supported my learning well",89.7,0.681818181818182
"138","2017","warwick","rg","resource","library","The library resources (e.g. books, online services and learning spaces) have supported my learning well",85.1,0.6
"139","2017","warwick","rg","teaching","theme_sum","The teaching on my course",85.4,2.35454545454545
"140","2017","warwick","rg","management","timetable","The timetable works efficiently for me",89.7,0.663636363636364
"141","2017","nottingham","rg","acad_support","theme_sum","Academic support",79,1.46694214876033
"142","2017","nottingham","rg","management","comms","Any changes in the course or teaching have been communicated effectively",93.4,0.628099173553719
"143","2017","nottingham","rg","assess_feed","theme_sum","Assessment and feedback",65.4,1.20247933884298
"144","2017","nottingham","rg","assessment","timely","Feedback on my work has been timely",68.9,0.34297520661157
"145","2017","nottingham","rg","academic","choices","Good advice was available when I needed to make study choices on my course",73,0.400826446280992
"146","2017","nottingham","rg","community","staffstudent","I feel part of a community of staff and students",69.3,0.37603305785124
"147","2017","nottingham","rg","resource","access","I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",95.6,0.714876033057851
"148","2017","nottingham","rg","academic","contact","I have been able to contact staff when I needed to",91.7,0.648760330578512
"149","2017","nottingham","rg","voice","opportunity","I have had the right opportunities to provide feedback on my course",86.8,0.582644628099174
"150","2017","nottingham","rg","community","studentwork","I have had the right opportunities to work with other students as part of my course",84.7,0.553719008264463
"151","2017","nottingham","rg","academic","support","I have received helpful comments on my work",58.3,0.210743801652893
"152","2017","nottingham","rg","assessment","helpful","I have received helpful comments on my work",60.8,0.28099173553719
"153","2017","nottingham","rg","academic","choices","I have received sufficient advice and guidance in relation to my course",72.4,0.421487603305785
"154","2017","nottingham","rg","voice","acted_upon","It is clear how students’ feedback on the course has been acted on",73.9,0.429752066115702
"155","2017","nottingham","rg","community","theme_sum","Learning community",77,0.933884297520661
"156","2017","nottingham","rg","learnopp","theme_sum","Learning opportunities",83.5,1.61570247933884
"157","2017","nottingham","rg","resource","theme_sum","Learning resources",94.4,2.05785123966942
"158","2017","nottingham","rg","assessment","fair","Marking and assessment has been fair",64.9,0.293388429752066
"159","2017","nottingham","rg","teaching","challenge","My course has challenged me to achieve my best work",81.6,0.541322314049587
"160","2017","nottingham","rg","learnopp","apply","My course has provided me with opportunities to apply what I have learnt",72.8,0.421487603305785
"161","2017","nottingham","rg","learnopp","diff_topics","My course has provided me with opportunities to bring information and ideas together from different topics",89.9,0.615702479338843
"162","2017","nottingham","rg","learnopp","depth","My course has provided me with opportunities to explore ideas or concepts in depth",87.7,0.582644628099174
"163","2017","nottingham","rg","management","theme_sum","Organisation and management",89.9,1.81818181818182
"164","2017","nottingham","rg","overall","satisfied","Overall satisfaction",87.2,0.578512396694215
"165","2017","nottingham","rg","teaching","explain","Staff are good at explaining things",90.4,0.520661157024793
"166","2017","nottingham","rg","teaching","interest","Staff have made the subject interesting",80.3,0.442148760330579
"167","2017","nottingham","rg","voice","valued","Staff value students’ views and opinions about the course",86,0.541322314049587
"168","2017","nottingham","rg","voice","theme_sum","Student Voice",82.3,1.55785123966942
"169","2017","nottingham","rg","teaching","stimulating","The course is intellectually stimulating",92.1,0.652892561983471
"170","2017","nottingham","rg","management","organised","The course is well organised and running smoothly",82.9,0.520661157024793
"171","2017","nottingham","rg","assessment","clear","The criteria used in marking have been clear in advance",69.3,0.351239669421488
"172","2017","nottingham","rg","resource","IT","The IT resources and facilities provided have supported my learning well",94.7,0.669421487603306
"173","2017","nottingham","rg","resource","library","The library resources (e.g. books, online services and learning spaces) have supported my learning well",93.4,0.681818181818182
"174","2017","nottingham","rg","teaching","theme_sum","The teaching on my course",86.1,2.15289256198347
"175","2017","nottingham","rg","management","timetable","The timetable works efficiently for me",93.4,0.677685950413223
"176","2017","newcastle","rg","acad_support","theme_sum","Academic support",82.5,1.38888888888889
"177","2017","newcastle","rg","management","comms","Any changes in the course or teaching have been communicated effectively",85.2,0.46969696969697
"178","2017","newcastle","rg","assess_feed","theme_sum","Assessment and feedback",65.7,1.18686868686869
"179","2017","newcastle","rg","assessment","timely","Feedback on my work has been timely",69.8,0.343434343434343
"180","2017","newcastle","rg","academic","choices","Good advice was available when I needed to make study choices on my course",77.6,0.409090909090909
"181","2017","newcastle","rg","community","staffstudent","I feel part of a community of staff and students",76.3,0.398989898989899
"182","2017","newcastle","rg","resource","access","I have been able to access course-specific resources (e.g. equipment, facilities, software, collections) when I needed to",91.3,0.601010101010101
"183","2017","newcastle","rg","academic","contact","I have been able to contact staff when I needed to",92.4,0.560606060606061
"184","2017","newcastle","rg","voice","opportunity","I have had the right opportunities to provide feedback on my course",88,0.590909090909091
"185","2017","newcastle","rg","community","studentwork","I have had the right opportunities to work with other students as part of my course",88.2,0.525252525252525
"186","2017","newcastle","rg","academic","support","I have received helpful comments on my work",57.8,0.257575757575758
"187","2017","newcastle","rg","assessment","helpful","I have received helpful comments on my work",61.4,0.303030303030303
"188","2017","newcastle","rg","academic","choices","I have received sufficient advice and guidance in relation to my course",77.2,0.414141414141414
